Auszug Katalog DLA Marbach 08 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_Katalog,Medium,Person_Verfasser,Person_beteiligt,Titel,"Verfasser, beteiligte",Impressum,Verlag normiert,Haupttitel,Titelzusatz,Verfasserangabe,Auflage,Erscheiungsort,Verlag,Jahr,Jahr_normiert,Bandangabe_Mehrb. Weri,Seiten,Ill-Vermerk,Reihe,Reihe_Nummer,Anmerkung,ISBN,Gattung,Art_Inhalt,Sprache,Sprache_Original,Weitere Titel,Signatur,Signatur_Mehrb_Werk
AK00345504,Buch,"Aichinger, Ilse (1921-2016) [Verfasser/Urheber]␟","Reichensperger, Richard (1961-2004) [Herausgeber]␟␟Aichinger, Ilse (1921-2016) [Verfasser]",Werke : Taschenbuchausgabe in acht Bänden - ¬Die¬ größere Hoffnung : Roman,"Aichinger, Ilse; Reichensperger, Richard; Aichinger, Ilse","Frankfurt am Main : Fischer-Taschenbuch-Verl., Frankfurt am Main : Fischer, 1991 - 286 S",S. Fischer,Die größere Hoffnung,Roman,Ilse Aichinger [Verfasser],,Frankfurt am Main,Fischer,1991,1991,,286 S,,#NV␟Fischer-Taschenbücher ; 11041,#NV␟11041,,3-596-11041-6,,,,,,M,
AK00334287,Mikroform␟Buch,"Aichinger, Karl Friedrich (1717-1782) [Verfasser/Urheber]",,"Bemühung der Obern Pfalz, den Zorn ... Gottscheds zu besänfftigen","Aichinger, Karl Friedrich","[S.l.], 1750",,"Bemühung der Obern Pfalz, den Zorn ... Gottscheds zu besänfftigen",,Karl Friedrich Aichinger,,[S.l.],,1750,1750,,,,,,"Druckausg. anonym erschienen␟DM 20,- (Gesamtpreis für alle Werke des Autors in der Ed., 1 Mikrofiche, ISBN gültig für alle Werke des Autors)␟Mikrofiche-Ausg.␟München [u.a.] : Saur, 1994. Mikrofiche(s). (Bibliothek der deutschen Literatur ; Fiche 6). Besitzer der Verfilmungsvorlage: 12. - Enth. in BDL-Teilausg.: Aufklärung, Oberbayern/Niederbayern/Oberpfalz. ISBN 3-598-50022-X ISBN 3-598-50015-7 ISBN 3-598-50065-3",3-598-50022-X␟3-598-50015-7␟3-598-50065-3,,,,,,MPF BDL 6,
AK01584989,Buch,"Akkordéon, Pètrus (1971-) [Verfasser/Urheber]","Akkordéon, Pètrus (1971-) [Illustrator]",Gedichte und Linolschnitte - Einmalige Auflage,"Akkordéon, Pètrus; Akkordéon, Pètrus","Berlin : Andante Handpresse, 2017 - [24] Seiten",Andante Handpresse,Gedichte und Linolschnitte,,Petrus Akkordeon,Einmalige Auflage,Berlin,Andante Handpresse,2017,2017,,[24] Seiten,Illustrationen,,15,,,Lyrik,,Deutsch,,,N:Kps.,
AK00140112,Buch,"Aktoprak, Levent (1959-) [Verfasser/Urheber]","Rademacher, Gerhard (1935-) [Verfasser eines Vorworts]",Unterm Arm die Odyssee : Gedichte - 1. Aufl.,"Aktoprak, Levent; Rademacher, Gerhard","Frankfurt (Main) : Da€gyeli, 1987 - 61 Seiten",Dagyeli,Unterm Arm die Odyssee,Gedichte,Levent Aktoprak. Mit einem Vorw. von Gerhard Rademacher,1. Aufl.,Frankfurt (Main),Da€gyeli,1987,1987,,61 Seiten,,,,,3-924320-56-X,Lyrik,,Deutsch,,,CPS/AKT1,
AK00140236,Buch,"Alafenisch, Salim (1948-) [Verfasser/Urheber]",,¬Das¬ Kamel mit dem Nasenring,"Alafenisch, Salim","Zürich : Unionsverl., 1990 - 179 Seiten",Unionsverl.,Das Kamel mit dem Nasenring,,Salim Alafenisch,,Zürich,Unionsverl.,1990,1990,,179 Seiten,,,,,3-293-00162-9,Erzählende Prosa,,Deutsch,,,CPS/ALA3,
AK01601625,Buch,"Albers, Sabrina [Verfasser/Urheber]","Butcher, Kaethe [Illustrator]",¬Der¬ Nebel in mir : Stories & Poems - 2. Auflage,"Albers, Sabrina; Butcher, Kaethe","Speyer : Sabrina Albers, 2016 - 76 Seiten",Sabrina Albers,Der Nebel in mir,Stories & Poems,Sabrina Albers ; [Illustrationen: Kaethe Butcher],2. Auflage,Speyer,Sabrina Albers,2016,2016,,76 Seiten,Illustrationen,,,,978-3-7418-3060-0,Erzählende Prosa,,Deutsch,,,N:Kps.,
AK00397346,Buch,"Alberti, Conrad (1862-1918) [Verfasser/Urheber]",,Riesen und Zwerge : Roman - 2. Aufl.,"Alberti, Conrad","Leipzig : Friedrich, [1889] - 270 Seiten",Friedrich,Riesen und Zwerge,Roman,von Conrad Alberti,2. Aufl.,Leipzig,Friedrich,[1889],1889,,270 Seiten,,,,,,,,Deutsch,,,K,
AK00122159,Buch,"Alberts, Jürgen (1946-) [Verfasser/Urheber]",,Landru : Roman,"Alberts, Jürgen","Göttingen : Steidl, 1998 - 256 Seiten",Steidl,Landru,Roman,Jürgen Alberts,,Göttingen,Steidl,1998,1998,,256 Seiten,,stb ; 124,124,,3-88243-599-2,Erzählende Prosa,,Deutsch,,,M,
AK01778752,Buch,"Alberts, Jürgen (1946-) [Verfasser/Urheber]","Alberts, Marita (1946-) [Mitwirkender]","Zufall, Chuzpe und ein Quäntchen Glück : mein Leben in Anekdoten - 1. Auflage : [Erinnerung, Autobiographisches, Memoiren]","Alberts, Jürgen; Alberts, Marita","Bremen : Edition Falkenberg, 2021 - 181 Seiten",Edition Falkenberg,"Zufall, Chuzpe und ein Quäntchen Glück",mein Leben in Anekdoten,Alberts Jürgen,1. Auflage,Bremen,Edition Falkenberg,2021,2021,,181 Seiten,,,,,9783954942497␟3954942496,,"Erinnerung, Autobiographisches, Memoiren",Deutsch,,,M,
AK00334322,Mikroform␟Buch,"Albrecht, Johann Friedrich Ernst (1752-1814) [Verfasser/Urheber]",,¬Der¬ Laufpass fürs achtzehnte Jahrhundert,"Albrecht, Johann Friedrich Ernst","Hamburg, 1801",,Der Laufpass fürs achtzehnte Jahrhundert,,Johann Friedrich Ernst Albrecht,,Hamburg,,1801,1801,,,,,,"Druckausg. anonym erschienen␟DM 336,- (Gesamtpreis für alle Werke des Autors in der Ed., 49 Mikrofiches, ISBN gültig für alle Werke des Autors)␟Mikrofiche-Ausg.␟München [u.a.] : Saur, 1994. Mikrofiche(s). (Bibliothek der deutschen Literatur ; Fiche 5626/5627). Besitzer der Verfilmungsvorlage: 12. - Enth. in BDL-Teilausg.: Klassik/Romantik, Niedersachsen. ISBN 3-598-50026-2 ISBN 3-598-50017-3 ISBN 3-598-50040-8",3-598-50026-2␟3-598-50017-3␟3-598-50040-8,,,,,,MPF BDL 5626/5627,
